Manufacturer,Model,Vehicle_type,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,Sales,Price,Resale_Value
Chevrolet,Lumina,Passenger,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,2011-05-24,69.9913956,24600.0,18890.0,10300.0
Chevrolet,Monte Carlo,Passenger,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,2011-12-22,72.03091719,42600.0,19390.0,11500.0
Chevrolet,Camaro,Passenger,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,2011-10-23,81.11854333,26400.0,24340.0,13000.0
Chevrolet,Corvette,Passenger,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,2012-05-12,141.14115,17900.0,45710.0,36200.0
Chevrolet,Prizm,Passenger,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,2011-09-11,48.2976361,32299.999999999996,13960.0,9100.0
Chevrolet,Metro,Passenger,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,2012-04-13,23.27627233,21900.0,9240.0,5200.0
Chevrolet,Impala,Passenger,3.4,180.0,110.5,73.0,200.0,3.389,17.0,27.0,2011-06-18,71.83803944,108000.0,18890.0,14200.0
Chrysler,Sebring Coupe,Passenger,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,2012-01-16,65.95718396,7900.0,19840.0,12400.0
Chrysler,Sebring Conv.,Passenger,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,2011-11-17,69.52135505,32800.0,24500.0,14200.0
Chrysler,Concorde,Passenger,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,2012-06-06,80.02378204,31100.0,22250.0,13700.0
Chrysler,Cirrus,Passenger,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,2011-10-06,53.56619987,32299.999999999996,16480.0,12600.0
Chrysler,LHS,Passenger,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,2012-05-08,101.3292807,13500.0,28340.0,17300.0
Chrysler,Town & Country,Car,3.0,177.5,107.0,70.55,187.9,3.342,17.2,24.0,2011-07-13,72.03091719,53500.0,22800.0,19500.0
Chrysler,300M,Passenger,3.5,253.0,113.0,74.4,197.8,3.567,17.0,23.0,2012-02-10,101.6552441,30700.0,29190.0,14200.0
Dodge,Neon,Passenger,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,2011-12-12,52.08489875,76000.0,12640.0,7800.0
Dodge,Avenger,Passenger,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,2012-07-01,65.65050834,4700.0,19050.0,12500.0
Dodge,Stratus,Passenger,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,2011-10-31,67.87610784,71200.0,20230.0,10200.0
Dodge,Intrepid,Passenger,2.7,202.0,113.0,74.7,203.7,3.489,17.0,24.0,2012-06-02,80.83147017,88000.0,22510.0,12300.0
Dodge,Viper,Passenger,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,2011-08-07,188.144323,900.0,69730.0,58500.0
Dodge,Ram Pickup,Car,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,2012-03-06,90.21170005,227100.0,19460.0,15100.0
Dodge,Ram Wagon,Car,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,2012-01-06,71.13529161,16800.0,21320.0,15500.0
Dodge,Ram Van,Car,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,2012-07-26,70.07832154,31000.0,18580.0,13400.0
Dodge,Dakota,Car,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,2011-11-25,49.64500177,111300.0,16980.0,11300.0
Dodge,Durango,Car,5.2,230.0,115.7,71.7,193.5,4.394,25.0,17.0,2012-06-27,92.85412522,101300.0,26310.0,14200.0
Dodge,Caravan,Car,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,2011-09-01,61.22700031,181700.0,19570.0,12000.0
Ford,Escort,Passenger,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,2012-03-31,44.08370946,70200.0,12070.0,7400.0
Ford,Mustang,Passenger,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,2012-01-31,76.50918456,113400.0,21560.0,12800.0
Ford,Contour,Passenger,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,2012-08-20,67.35101072,35100.0,17040.0,8800.0
Ford,Taurus,Passenger,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,2011-12-20,62.5037395,245800.0,17890.0,10100.0
Ford,Focus,Passenger,2.0,107.0,103.0,66.9,174.8,2.564,13.2,30.0,2012-07-22,43.11713201,175700.0,12320.0,14200.0
Ford,Crown Victoria,Passenger,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,2011-09-26,80.49953671,63400.0,22200.0,14200.0
Ford,Explorer,Car,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,2012-04-25,87.63549578,276700.0,31930.0,16600.0
Ford,Windstar,Car,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,2012-02-25,62.09504839,155800.0,21410.0,13200.0
Ford,Expedition,Car,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,2012-09-14,100.0248023,125300.0,36140.0,23600.0
Ford,Ranger,Car,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,2012-01-14,47.38953131,220700.0,12050.0,7900.0
Ford,F-Series,Car,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,2012-08-16,89.40193473,540600.0,26940.0,15100.0
Honda,Civic,Passenger,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,2011-10-21,42.87909734,199700.0,12890.0,9900.0
Honda,Accord,Passenger,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,2012-05-20,54.26954829,230900.0,15350.0,13200.0
Honda,CR-V,Car,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,2012-03-21,60.08796662,73200.0,20550.0,17700.0
Honda,Passport,Car,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,2012-10-09,83.6025008,12900.0,26600.0,17500.0
Honda,Odyssey,Car,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,2012-02-08,85.21769134,76000.0,26000.0,19500.0
Hyundai,Accent,Passenger,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,2012-09-10,36.67228358,41200.0,9700.0,5900.0
Hyundai,Elantra,Passenger,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,2011-11-15,54.59004516,66700.0,11800.0,7800.0
Hyundai,Sonata,Passenger,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,2012-06-14,58.758249,29500.0,15000.0,8900.0
Infiniti,I30,Passenger,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,2012-04-15,92.43688923,23700.0,29470.0,19700.0
Jaguar,S-Type,Passenger,3.0,240.0,114.5,71.6,191.3,3.65,18.4,21.0,2012-11-03,102.1789848,15500.0,42800.0,14200.0
Jeep,Wrangler,Car,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,2012-03-04,48.67289791,55600.0,14460.0,13500.0
Jeep,Cherokee,Car,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,2012-10-05,76.58443962,80600.0,21620.0,13800.0
Jeep,Grand Cherokee,Car,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,2011-12-10,80.38777912,157000.0,26900.0,18800.0
Lexus,ES300,Passenger,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,2012-07-09,87.21100104,24100.0,31510.0,27000.0
Lexus,GS300,Passenger,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,2012-05-10,94.9466984,12700.0,37810.0,32100.0
Lexus,GS400,Passenger,4.0,300.0,110.2,70.9,189.2,3.693,19.8,21.0,2012-11-28,125.0133574,3300.0,46310.0,14200.0
Lexus,LS400,Passenger,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,2012-03-29,124.4467163,6400.0,54010.0,40400.0
Lexus,LX470,Car,4.7,230.0,112.2,76.4,192.5,5.401,25.4,15.0,2012-10-30,105.760458,9100.0,60110.0,14200.0
Lexus,RX300,Car,3.0,220.0,103.0,71.5,180.1,3.9,17.2,21.0,2012-01-04,91.94380156,51200.0,34610.0,14200.0
Lincoln,Continental,Passenger,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,2012-08-03,113.5402069,13800.0,39080.0,20500.0
Lincoln,Town car,Passenger,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,2012-06-04,93.9579169,48900.0,43330.0,21700.0
Lincoln,Navigator,Car,5.4,300.0,119.0,79.9,204.8,5.393,30.0,15.0,2012-12-23,123.9720467,22900.0,42660.0,14200.0
Mitsubishi,Mirage,Passenger,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,2012-04-23,45.83218056,26200.0,13990.0,8300.0
Mitsubishi,Eclipse,Passenger,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,2012-11-24,62.44196235,42500.0,19050.0,10400.0
Mitsubishi,Galant,Passenger,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,2012-01-29,58.60677292,55600.0,17360.0,10600.0
Mitsubishi,Diamante,Passenger,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,2012-08-28,84.83077858,5700.0,25000.0,16600.0
Mitsubishi,3000GT,Passenger,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,2012-06-29,67.54415494,100.0,25450.0,20900.0
Mitsubishi,Montero,Car,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,2012-01-17,83.92081504,11300.0,31810.0,19100.0
Mitsubishi,Montero Sport,Car,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,2012-05-18,70.66094179,39300.0,22530.0,13900.0
Mercury,Mystique,Passenger,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,2012-12-19,50.99774761,14400.0,16239.999999999998,8800.0
Mercury,Cougar,Passenger,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,2012-02-23,51.11347426,26500.0,16540.0,13900.0
Mercury,Sable,Passenger,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,2012-09-22,62.23996663,68000.0,19040.0,11000.0
Mercury,Grand Marquis,Passenger,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,2012-07-24,80.65769646,81200.0,22610.0,14900.0
Mercury,Mountaineer,Car,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,2008-02-13,85.94974425,27600.0,27560.0,20400.0
Mercury,Villager,Car,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,2009-10-20,69.671461,20400.0,22510.0,14800.0
Mercedes-B,C-Class,Passenger,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,2011-04-24,78.28073088,18400.0,31750.0,26100.0
Mercedes-B,E-Class,Passenger,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,2011-07-12,98.2497375,27600.0,49900.0,41500.0
Mercedes-B,S-Class,Passenger,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,2011-06-13,125.2738757,16800.0,69700.0,50400.0
Mercedes-B,SL-Class,Passenger,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,2011-03-17,139.9822936,3300.0,82600.0,58600.0
Mercedes-B,SLK,Passenger,2.3,190.0,94.5,67.5,157.9,3.055,15.9,26.0,2011-01-16,82.80736193,8000.0,38900.0,14200.0
Mercedes-B,SLK230,Passenger,2.3,185.0,94.5,67.5,157.3,2.975,14.0,27.0,2011-08-06,81.84896924,1500.0,41000.0,14200.0
Mercedes-B,CLK Coupe,Passenger,3.2,215.0,105.9,67.8,180.3,3.213,16.4,26.0,2011-07-08,92.92579177,11600.0,41600.0,14200.0
Mercedes-B,CL500,Passenger,5.0,302.0,113.6,73.1,196.6,4.115,23.2,20.0,2011-04-11,141.1009845,1000.0,85500.0,14200.0
Mercedes-B,M-Class,Car,3.2,215.0,111.0,72.2,180.6,4.387,19.0,20.0,2011-02-10,90.49553213,29000.0,35300.0,14200.0
Nissan,Sentra,Passenger,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,2011-08-31,50.24197791,42600.0,13500.0,8500.0
Nissan,Altima,Passenger,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,2011-08-02,63.31372783,88100.0,20390.0,11300.0
Nissan,Maxima,Passenger,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,2011-05-06,89.42782031,79900.0,26250.0,15100.0
Nissan,Quest,Car,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,2011-03-07,71.17166413,27300.0,26400.0,15400.0
Nissan,Pathfinder,Car,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,2011-09-25,72.29035508,42600.0,29300.0,17800.0
Nissan,Xterra,Car,3.3,170.0,104.3,70.4,178.0,3.821,19.4,18.0,2011-01-24,69.78294434,54200.0,22800.0,14200.0
Nissan,Frontier,Car,3.3,170.0,116.1,66.5,196.1,3.217,19.4,18.0,2011-08-27,67.88927059,65000.0,17890.0,14200.0
Oldsmobile,Cutlass,Passenger,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,2011-05-31,60.86161155,1100.0,18150.0,11200.0
Oldsmobile,Intrigue,Passenger,3.5,215.0,109.0,73.6,195.9,3.455,18.0,24.0,2011-04-01,86.27252291,38600.0,24150.0,14200.0
Oldsmobile,Alero,Passenger,2.4,150.0,107.0,70.1,186.7,2.958,15.0,27.0,2009-10-20,60.72744693,80300.0,18270.0,14200.0
Oldsmobile,Aurora,Passenger,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2011-02-18,103.4416926,14700.0,36230.0,19900.0
Oldsmobile,Bravada,Car,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,2011-09-21,80.51167259,20000.0,31600.0,19900.0
Oldsmobile,Silhouette,Car,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,2011-06-25,76.09657042,24400.0,25350.0,15200.0
Plymouth,Neon,Passenger,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,2011-04-26,52.08489875,32700.000000000004,12640.0,7800.0
Plymouth,Breeze,Passenger,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,2011-11-14,53.41189767,5200.0,16079.999999999998,9800.0
Plymouth,Voyager,Car,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,2011-04-24,60.95118512,24200.0,18850.0,12000.0
Plymouth,Prowler,Passenger,3.5,253.0,113.3,76.3,165.4,2.85,12.0,21.0,2012-06-27,106.9844563,1900.0,43000.0,14200.0
Pontiac,Sunfire,Passenger,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,2012-01-25,62.0158703,51600.0,21610.0,13800.0
Pontiac,Grand Am,Passenger,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,2012-11-26,70.38973726,131100.0,19720.0,10300.0
Pontiac,Firebird,Passenger,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,2012-06-16,81.49272616,19900.0,25310.0,17800.0
Pontiac,Grand Prix,Passenger,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,2012-10-15,78.31816813,92400.0,21670.0,14000.0
Pontiac,Bonneville,Passenger,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,2011-05-18,82.6613556,35900.0,23760.0,13200.0
Pontiac,Montana,Car,3.4,185.0,120.0,72.7,201.3,3.942,25.0,23.0,2012-07-22,76.20843952,39600.0,25640.0,14200.0
Porsche,Boxter,Passenger,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2012-02-19,93.4373307,9000.0,41430.0,41300.0
Porsche,Carrera Coupe,Passenger,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,2012-12-21,134.3909754,1300.0,71020.0,60600.0
Porsche,Carrera Cabrio,Passenger,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,2011-07-11,135.9147096,1900.0,74970.0,67600.0
Saab,9.5,Passenger,2.3,170.0,106.4,70.6,189.2,3.28,18.5,23.0,2012-11-09,73.50377819,9200.0,33120.0,14200.0
Saab,9.3,Passenger,2.0,185.0,102.6,67.4,182.2,2.99,16.9,23.0,2011-06-12,76.02304771,12100.0,26100.0,14200.0
Saturn,SL,Passenger,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,2012-08-16,39.98642475,80600.0,10690.0,9200.0
Saturn,SC,Passenger,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,2011-03-16,40.70007242,24500.0,12540.0,10600.0
Saturn,SW,Passenger,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,2011-01-15,49.86577367,5200.0,14290.0,10800.0
Saturn,LW,Passenger,2.2,137.0,106.5,69.0,190.4,3.075,13.1,27.0,2011-08-05,56.29524304,8500.0,18840.0,14200.0
Saturn,LS,Passenger,2.2,137.0,106.5,69.0,190.4,2.91,13.1,28.0,2012-12-04,54.81972825,50000.0,15010.0,14200.0
Subaru,Outback,Passenger,2.5,165.0,103.5,67.5,185.8,3.415,16.9,25.0,2011-07-07,67.7659076,47100.0,22700.0,14200.0
Subaru,Forester,Car,2.5,165.0,99.4,68.3,175.2,3.125,15.9,24.0,2012-09-10,66.76294331,33000.0,20100.0,14200.0
Toyota,Corolla,Passenger,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,2011-04-11,47.96897242,142500.0,13110.0,10000.0
Toyota,Camry,Passenger,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,2011-02-10,54.37241965,248000.0,17520.0,13200.0
Toyota,Avalon,Passenger,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,2011-08-31,84.91189826,63800.0,25550.0,18100.0
Toyota,Celica,Passenger,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,2012-12-29,56.49603034,33300.0,16880.0,15400.0
Toyota,Tacoma,Car,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,2011-08-01,55.29711658,84100.0,11530.0,9600.0
Toyota,Sienna,Car,3.0,194.0,114.2,73.4,193.5,3.759,20.9,22.0,2012-10-05,78.02721947,65099.99999999999,22370.0,14200.0
Toyota,RAV4,Car,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,2011-05-06,51.95510887,25100.0,16890.0,13300.0
Toyota,4Runner,Car,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,2011-03-07,62.35557713,68400.0,22290.0,19400.0
Toyota,Land Cruiser,Car,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,2011-09-25,102.5289842,9800.0,51730.0,34100.0
Volkswagen,Golf,Passenger,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,2011-01-24,46.94387676,9800.0,14900.0,11400.0
Volkswagen,Jetta,Passenger,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,2011-08-27,47.63823666,83700.0,16700.0,13200.0
Volkswagen,Passat,Passenger,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,2012-10-30,61.70138136,51100.0,21200.0,16700.0
Volkswagen,Cabrio,Passenger,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,2011-05-31,48.90737225,9600.0,19990.0,16600.0
Volkswagen,GTI,Passenger,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,2011-04-01,47.94684106,5600.0,17500.0,13800.0
Volkswagen,Beetle,Passenger,2.0,115.0,98.9,67.9,161.1,2.769,14.5,26.0,2011-10-20,47.32963226,49500.0,15900.0,14200.0
Volvo,S40,Passenger,1.9,160.0,100.5,67.6,176.6,2.998,15.8,25.0,2011-02-18,66.1130568,17000.0,23400.0,14200.0
Volvo,V40,Passenger,1.9,160.0,100.5,67.6,176.6,3.042,15.8,25.0,2011-09-21,66.4988123,3500.0,24400.0,14200.0
Volvo,S70,Passenger,2.4,168.0,104.9,69.3,185.9,3.208,17.9,25.0,2012-11-24,70.65449545,15200.0,27500.0,14200.0
Volvo,V70,Passenger,2.4,168.0,104.9,69.3,186.2,3.259,17.9,25.0,2011-06-25,71.1559776,17500.0,28800.0,14200.0
Volvo,C70,Passenger,2.3,236.0,104.9,71.5,185.7,3.601,18.5,23.0,2011-04-26,101.6233572,3500.0,45500.0,14200.0
Volvo,S80,Passenger,2.9,201.0,109.9,72.1,189.8,3.6,21.1,24.0,2011-11-14,85.73565451,19000.0,36000.0,14200.0
