Manufacturer,Model,Sales_in_thousands,__year_resale_value,Vehicle_type,Price_in_thousands,Engine_size,Horsepower,Wheelbase,Width,Length,Curb_weight,Fuel_capacity,Fuel_efficiency,Latest_Launch,Power_perf_factor,
Ford,Taurus,245.8,10.1,Passenger,$17.89,3,155,108.5,73,197.6,3.368,16,24,12/20/2011,62.5037395,
Ford,Focus,175.7,,Passenger,$12.32,2,107,103,66.9,174.8,2.564,13.2,30,7/22/2012,43.11713201,
Ford,Crown Victoria,63.4,14.2,Passenger,$22.20,4.6,200,114.7,78.2,212,3.908,19,21,9/26/2011,80.49953671,
Ford,Explorer,276.7,16.6,Car,$31.93,4,210,111.6,70.2,190.7,3.876,21,19,4/25/2012,87.63549578,
Ford,Windstar,155.8,13.2,Car,$21.41,3,150,120.7,76.6,200.9,3.761,26,21,2/25/2012,62.09504839,
Ford,Expedition,125.3,23.6,Car,$36.14,4.6,240,119,78.7,204.6,4.808,26,16,9/14/2012,100.0248023,
Ford,Ranger,220.7,7.9,Car,$12.05,2.5,119,117.5,69.4,200.7,3.086,20,23,1/14/2012,47.38953131,
Ford,F-Series,540.6,15.1,Car,$26.94,4.6,220,138.5,79.1,224.5,4.241,25.1,18,8/16/2012,89.40193473,
Honda,Civic,199.7,9.9,Passenger,$12.89,1.6,106,103.2,67.1,175.1,2.339,11.9,32,10/21/2011,42.87909734,
Honda,Accord,230.9,13.2,Passenger,$15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27,5/20/2012,54.26954829,
Honda,CR-V,73.2,17.7,Car,$20.55,2,146,103.2,68.9,177.6,3.219,15.3,24,3/21/2012,60.08796662,
Honda,Passport,12.9,17.5,Car,$26.60,3.2,205,106.4,70.4,178.2,3.857,21.1,19,10-09-2012,83.6025008,
Honda,Odyssey,76.0,19.5,Car,$26.00,3.5,210,118.1,75.6,201.2,4.288,20,23,02-08-2012,85.21769134,
Hyundai,Accent,41.2,5.9,Passenger,$9.70,1.5,92,96.1,65.7,166.7,2.24,11.9,31,09-10-2012,36.67228358,
Hyundai,Elantra,66.7,7.8,Passenger,$11.80,2,140,100.4,66.9,174,2.626,14.5,27,11/15/2011,54.59004516,
Hyundai,Sonata,29.5,8.9,Passenger,$15.00,2.4,148,106.3,71.6,185.4,3.072,17.2,25,6/14/2012,58.758249,
Infiniti,I30,23.7,19.7,Passenger,$29.47,3,227,108.3,70.2,193.7,3.342,18.5,25,4/15/2012,92.43688923,
Jaguar,S-Type,15.5,,Passenger,$42.80,3,240,114.5,71.6,191.3,3.65,18.4,21,11-03-2012,102.1789848,
Jeep,Wrangler,55.6,13.5,Car,$14.46,2.5,120,93.4,66.7,152,3.045,19,17,03-04-2012,48.67289791,
Jeep,Cherokee,80.6,13.8,Car,$21.62,4,190,101.4,69.4,167.5,3.194,20,20,10-05-2012,76.58443962,
Jeep,Grand Cherokee,157.0,18.8,Car,$26.90,4,195,105.9,72.3,181.5,3.88,20.5,19,12-10-2011,80.38777912,
Lexus,ES300,24.1,27.0,Passenger,$31.51,3,210,105.1,70.5,190.2,3.373,18.5,23,07-09-2012,87.21100104,
Lexus,GS300,12.7,32.1,Passenger,$37.81,3,225,110.2,70.9,189.2,3.638,19.8,23,05-10-2012,94.9466984,
Lexus,GS400,3.3,,Passenger,$46.31,4,300,110.2,70.9,189.2,3.693,19.8,21,11/28/2012,125.0133574,
Lexus,LS400,6.4,40.4,Passenger,$54.01,4,290,112.2,72,196.7,3.89,22.5,22,3/29/2012,124.4467163,
Lexus,LX470,9.1,,Car,$60.11,4.7,230,112.2,76.4,192.5,5.401,25.4,15,10/30/2012,105.760458,
Lexus,RX300,51.2,,Car,$34.61,3,220,103,71.5,180.1,3.9,17.2,21,01-04-2012,91.94380156,
Lincoln,Continental,13.8,20.5,Passenger,$39.08,4.6,275,109,73.6,208.5,3.868,20,22,08-03-2012,113.5402069,
Lincoln,Town car,48.9,21.7,Passenger,$43.33,4.6,215,117.7,78.2,215.3,4.121,19,21,06-04-2012,93.9579169,
Lincoln,Navigator,22.9,,Car,$42.66,5.4,300,119,79.9,204.8,5.393,30,15,12/23/2012,123.9720467,
Mitsubishi,Mirage,26.2,8.3,Passenger,$13.99,1.8,113,98.4,66.5,173.6,2.25,13.2,30,4/23/2012,45.83218056,
Mitsubishi,Eclipse,42.5,10.4,Passenger,$19.05,2.4,154,100.8,68.9,175.4,2.91,15.9,24,11/24/2012,62.44196235,
Mitsubishi,Galant,55.6,10.6,Passenger,$17.36,2.4,145,103.7,68.5,187.8,2.945,16.3,25,1/29/2012,58.60677292,
Mitsubishi,Diamante,5.7,16.6,Passenger,$25.00,3.5,210,107.1,70.3,194.1,3.443,19,22,8/28/2012,84.83077858,
Mitsubishi,3000GT,0.1,20.9,Passenger,$25.45,3,161,97.2,72.4,180.3,3.131,19.8,21,6/29/2012,67.54415494,
Mitsubishi,Montero,11.3,19.1,Car,$31.81,3.5,200,107.3,69.9,186.6,4.52,24.3,18,1/17/2012,83.92081504,
Mitsubishi,Montero Sport,39.3,13.9,Car,$22.53,3,173,107.3,66.7,178.3,3.51,19.5,20,5/18/2012,70.66094179,
Mercury,Mystique,14.4,8.8,Passenger,$16.24,2,125,106.5,69.1,184.8,2.769,15,28,12/19/2012,50.99774761,
Mercury,Cougar,26.5,13.9,Passenger,$16.54,2,125,106.4,69.6,185,2.892,16,30,2/23/2012,51.11347426,
Mercury,Sable,68.0,11.0,Passenger,$19.04,3,153,108.5,73,199.7,3.379,16,24,9/22/2012,62.23996663,
Mercury,Grand Marquis,81.2,14.9,Passenger,$22.61,4.6,200,114.7,78.2,212,3.958,19,21,7/24/2012,80.65769646,
Mercury,Mountaineer,27.6,20.4,Car,$27.56,4,210,111.6,70.2,190.1,3.876,21,18,2/13/2008,85.94974425,
Mercury,Villager,20.4,14.8,Car,$22.51,3.3,170,112.2,74.9,194.7,3.944,20,21,10/20/2009,69.671461,
Mercedes-B,C-Class,18.4,26.1,Passenger,$31.75,2.3,185,105.9,67.7,177.4,3.25,16.4,26,4/24/2011,78.28073088,
Mercedes-B,E-Class,27.6,41.5,Passenger,$49.90,3.2,221,111.5,70.8,189.4,3.823,21.1,25,07-12-2011,98.2497375,
Mercedes-B,S-Class,16.8,50.4,Passenger,$69.70,4.3,275,121.5,73.1,203.1,4.133,23.2,21,6/13/2011,125.2738757,
Mercedes-B,SL-Class,3.3,58.6,Passenger,$82.60,5,302,99,71.3,177.1,4.125,21.1,20,3/17/2011,139.9822936,
Mercedes-B,SLK,8.0,,Passenger,$38.90,2.3,190,94.5,67.5,157.9,3.055,15.9,26,1/16/2011,82.80736193,
Mercedes-B,SLK230,1.5,,Passenger,$41.00,2.3,185,94.5,67.5,157.3,2.975,14,27,08-06-2011,81.84896924,
Mercedes-B,CLK Coupe,11.6,,Passenger,$41.60,3.2,215,105.9,67.8,180.3,3.213,16.4,26,07-08-2011,92.92579177,
Mercedes-B,CL500,1.0,,Passenger,$85.50,5,302,113.6,73.1,196.6,4.115,23.2,20,04-11-2011,141.1009845,
Mercedes-B,M-Class,29.0,,Car,$35.30,3.2,215,111,72.2,180.6,4.387,19,20,02-10-2011,90.49553213,
Nissan,Sentra,42.6,8.5,Passenger,$13.50,1.8,126,99.8,67.3,177.5,2.593,13.2,30,8/31/2011,50.24197791,
Nissan,Altima,88.1,11.3,Passenger,$20.39,2.4,155,103.1,69.1,183.5,3.012,15.9,25,08-02-2011,63.31372783,
Nissan,Maxima,79.9,15.1,Passenger,$26.25,3,222,108.3,70.3,190.5,3.294,18.5,25,05-06-2011,89.42782031,
Nissan,Quest,27.3,15.4,Car,$26.40,3.3,170,112.2,74.9,194.8,3.991,20,21,03-07-2011,71.17166413,
Nissan,Pathfinder,42.6,17.8,Car,$29.30,3.3,170,106.3,71.7,182.6,3.947,21,19,9/25/2011,72.29035508,
Nissan,Xterra,54.2,,Car,$22.80,3.3,170,104.3,70.4,178,3.821,19.4,18,1/24/2011,69.78294434,
Nissan,Frontier,65.0,,Car,$17.89,3.3,170,116.1,66.5,196.1,3.217,19.4,18,8/27/2011,67.88927059,
Oldsmobile,Cutlass,1.1,11.2,Passenger,$18.15,3.1,150,107,69.4,192,3.102,15.2,25,5/31/2011,60.86161155,
Oldsmobile,Intrigue,38.6,,Passenger,$24.15,3.5,215,109,73.6,195.9,3.455,18,,04-01-2011,86.27252291,
Oldsmobile,Alero,80.3,,Passenger,$18.27,2.4,150,107,70.1,186.7,2.958,15,27,10/20/2009,60.72744693,
Oldsmobile,Aurora,14.7,19.9,Passenger,$36.23,4,250,113.8,74.4,205.4,3.967,18.5,22,2/18/2011,103.4416926,
Oldsmobile,Bravada,20.0,19.9,Car,$31.60,4.3,190,107,67.8,181.2,4.068,17.5,19,9/21/2011,80.51167259,
Oldsmobile,Silhouette,24.4,15.2,Car,$25.35,3.4,185,120,72.2,201.4,3.948,25,22,6/25/2011,76.09657042,
Plymouth,Neon,32.7,7.8,Passenger,$12.64,2,132,105,74.4,174.4,2.559,12.5,29,4/26/2011,52.08489875,
Plymouth,Breeze,5.2,9.8,Passenger,$16.08,2,132,108,71,186.3,2.942,16,27,11/14/2011,53.41189767,
Plymouth,Voyager,24.2,12.0,Car,$18.85,2.4,150,113.3,76.8,186.3,3.528,20,24,4/24/2011,60.95118512,
Plymouth,Prowler,1.9,,Passenger,$43.00,3.5,253,113.3,76.3,165.4,2.85,12,21,6/27/2012,106.9844563,
Pontiac,Sunfire,51.6,13.8,Passenger,$21.61,2.4,150,104.1,68.4,181.9,2.906,15,27,1/25/2012,62.0158703,
Pontiac,Grand Am,131.1,10.3,Passenger,$19.72,3.4,175,107,70.4,186.3,3.091,15.2,25,11/26/2012,70.38973726,
Pontiac,Firebird,19.9,17.8,Passenger,$25.31,3.8,200,101.1,74.5,193.4,3.492,16.8,25,6/16/2012,81.49272616,
Pontiac,Grand Prix,92.4,14.0,Passenger,$21.67,3.8,195,110.5,72.7,196.5,3.396,18,25,10/15/2012,78.31816813,
Pontiac,Bonneville,35.9,13.2,Passenger,$23.76,3.8,205,112.2,72.6,202.5,3.59,17.5,24,5/18/2011,82.6613556,
Pontiac,Montana,39.6,,Car,$25.64,3.4,185,120,72.7,201.3,3.942,25,23,7/22/2012,76.20843952,
Porsche,Boxter,9.0,41.3,Passenger,$41.43,2.7,217,95.2,70.1,171,2.778,17,22,2/19/2012,93.4373307,
Porsche,Carrera Coupe,1.3,60.6,Passenger,$71.02,3.4,300,92.6,69.5,174.5,3.032,17,21,12/21/2012,134.3909754,
Porsche,Carrera Cabrio,1.9,67.6,Passenger,$74.97,3.4,300,92.6,69.5,174.5,3.075,17,23,07-11-2011,135.9147096,
Saab,9.5,9.2,,Passenger,$33.12,2.3,170,106.4,70.6,189.2,3.28,18.5,23,11-09-2012,73.50377819,
Saab,9.3,12.1,,Passenger,$26.10,2,185,102.6,67.4,182.2,2.99,16.9,23,06-12-2011,76.02304771,
Saturn,SL,80.6,9.2,Passenger,$10.69,1.9,100,102.4,66.4,176.9,2.332,12.1,33,8/16/2012,39.98642475,
Saturn,SC,24.5,10.6,Passenger,$12.54,1.9,100,102.4,66.4,180,2.367,12.1,33,3/16/2011,40.70007242,
Saturn,SW,5.2,10.8,Passenger,$14.29,1.9,124,102.4,66.4,176.9,2.452,12.1,31,1/15/2011,49.86577367,
Saturn,LW,8.5,,Passenger,$18.84,2.2,137,106.5,69,190.4,3.075,13.1,27,08-05-2011,56.29524304,
Saturn,LS,50.0,,Passenger,$15.01,2.2,137,106.5,69,190.4,2.91,13.1,28,12-04-2012,54.81972825,
Subaru,Outback,47.1,,Passenger,$22.70,2.5,165,103.5,67.5,185.8,3.415,16.9,25,07-07-2011,67.7659076,
Subaru,Forester,33.0,,Car,$20.10,2.5,165,99.4,68.3,175.2,3.125,15.9,24,09-10-2012,66.76294331,
Toyota,Corolla,142.5,10.0,Passenger,$13.11,1.8,120,97,66.7,174,2.42,13.2,33,04-11-2011,47.96897242,
Toyota,Camry,248.0,13.2,Passenger,$17.52,2.2,133,105.2,70.1,188.5,2.998,18.5,27,02-10-2011,54.37241965,
Toyota,Avalon,63.8,18.1,Passenger,$25.55,3,210,107.1,71.7,191.9,3.417,18.5,26,8/31/2011,84.91189826,
Toyota,Celica,33.3,15.4,Passenger,$16.88,1.8,140,102.4,68.3,170.5,2.425,14.5,31,12/29/2012,56.49603034,
Toyota,Tacoma,84.1,9.6,Car,$11.53,2.4,142,103.3,66.5,178.7,2.58,15.1,23,08-01-2011,55.29711658,
Toyota,Sienna,65.1,,Car,$22.37,3,194,114.2,73.4,193.5,3.759,20.9,22,10-05-2012,78.02721947,
Toyota,RAV4,25.1,13.3,Car,$16.89,2,127,94.9,66.7,163.8,2.668,15.3,27,05-06-2011,51.95510887,
Toyota,4Runner,68.4,19.4,Car,$22.29,2.7,150,105.3,66.5,183.3,3.44,18.5,23,03-07-2011,62.35557713,
Toyota,Land Cruiser,9.8,34.1,Car,$51.73,4.7,230,112.2,76.4,192.5,5.115,25.4,15,9/25/2011,102.5289842,
Volkswagen,Golf,9.8,11.4,Passenger,$14.90,2,115,98.9,68.3,163.3,2.767,14.5,26,1/24/2011,46.94387676,
Volkswagen,Jetta,83.7,13.2,Passenger,$16.70,2,115,98.9,68.3,172.3,2.853,14.5,26,8/27/2011,47.63823666,
Volkswagen,Passat,51.1,16.7,Passenger,$21.20,1.8,150,106.4,68.5,184.1,3.043,16.4,27,10/30/2012,61.70138136,
Volkswagen,Cabrio,9.6,16.6,Passenger,$19.99,2,115,97.4,66.7,160.4,3.079,13.7,26,5/31/2011,48.90737225,
Volkswagen,GTI,5.6,13.8,Passenger,$17.50,2,115,98.9,68.3,163.3,2.762,14.6,26,04-01-2011,47.94684106,
Volkswagen,Beetle,49.5,,Passenger,$15.90,2,115,98.9,67.9,161.1,2.769,14.5,26,10/20/2011,47.32963226,
Volvo,S40,17.0,,Passenger,$23.40,1.9,160,100.5,67.6,176.6,2.998,15.8,25,2/18/2011,66.1130568,
Volvo,V40,3.5,,Passenger,$24.40,1.9,160,100.5,67.6,176.6,3.042,15.8,25,9/21/2011,66.4988123,
Volvo,S70,15.2,,Passenger,$27.50,2.4,168,104.9,69.3,185.9,3.208,17.9,25,11/24/2012,70.65449545,
Volvo,V70,17.5,,Passenger,$28.80,2.4,168,104.9,69.3,186.2,3.259,17.9,25,6/25/2011,71.1559776,
Volvo,C70,3.5,,Passenger,$45.50,2.3,236,104.9,71.5,185.7,3.601,18.5,23,4/26/2011,101.6233572,
Volvo,S80,19.0,,Passenger,$36.00,2.9,201,109.9,72.1,189.8,3.6,21.1,24,11/14/2011,85.73565451,
